OCC_CODE,OCC_TITLE,tot_emp_per_year,a_mean_per_year,group,year
25-1061,"Anthropology and Archeology Teachers, Postsecondary",4240,61230,,2001
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",5070,59650,,2001
25-1063,"Economics Teachers, Postsecondary",11600,65620,,2001
25-1064,"Geography Teachers, Postsecondary",3600,58200,,2001
25-1065,"Political Science Teachers, Postsecondary",11230,59110,,2001
25-1066,"Psychology Teachers, Postsecondary",24850,57140,,2001
25-1067,"Sociology Teachers, Postsecondary",12890,54600,,2001
25-1071,"Health Specialties Teachers, Postsecondary",85220,66850,,2001
25-1072,"Nursing Instructors and Teachers, Postsecondary",34390,51290,,2001
25-1081,"Education Teachers, Postsecondary",40480,50680,,2001
25-1082,"Library Science Teachers, Postsecondary",4040,53520,,2001
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",8060,47720,,2001
25-1112,"Law Teachers, Postsecondary",9660,79120,,2001
25-1113,"Social Work Teachers, Postsecondary",6250,53490,,2001
25-1121,"Art, Drama, and Music Teachers, Postsecondary",55540,51100,,2001
25-1122,"Communications Teachers, Postsecondary",18110,50460,,2001
25-1123,"English Language and Literature Teachers, Postsecondary",51370,49770,,2001
25-1124,"Foreign Language and Literature Teachers, Postsecondary",18590,49130,,2001
25-1125,"History Teachers, Postsecondary",16710,54010,,2001
25-1126,"Philosophy and Religion Teachers, Postsecondary",14000,52080,,2001
25-1191,Graduate Teaching Assistants,133690,24360,,2001
25-1192,"Home Economics Teachers, Postsecondary",4350,51730,,2001
25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",14700,44320,,2001
25-1194,"Vocational Education Teachers, Postsecondary",116890,41710,,2001
25-2011,"Preschool Teachers, Except Special Education",377540,20940,,2001
25-2012,"Kindergarten Teachers, Except Special Education",161610,41100,,2001
25-2021,"Elementary School Teachers, Except Special Education",1452160,43320,,2001
25-2022,"Middle School Teachers, Except Special and Vocational Education",571100,43570,,2001
25-2023,"Vocational Education Teachers, Middle School",18530,43340,,2001
25-2031,"Secondary School Teachers, Except Special and Vocational Education",980730,45370,,2001
25-2032,"Vocational Education Teachers, Secondary School",107680,45050,,2001
25-2041,"Special Education Teachers, Preschool, Kindergarten, and Elementary School",211240,44900,,2001
25-2042,"Special Education Teachers, Middle School",87330,43040,,2001
25-2043,"Special Education Teachers, Secondary School",123570,45670,,2001
25-3011,"Adult Literacy, Remedial Education, and Ged Teachers and Instructors",58310,40230,,2001
25-3021,Self-Enrichment Education Teachers,130440,32180,,2001
25-4010,"Archivists, Curators, and Museum Technicians",19970,38160,,2001
25-4021,Librarians,150280,43750,,2001
25-4031,Library Technicians,108580,25060,,2001
25-9011,Audio-Visual Collections Specialists,10320,33750,,2001
25-9021,Farm and Home Management Advisors,12540,41060,,2001
25-9031,Instructional Coordinators,88340,48650,,2001
25-9041,Teacher Assistants,1188910,19430,,2001
27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",1508790,39770,major,2001
27-1011,Art Directors,20880,65570,,2001
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",9710,38330,,2001
27-1014,Multi-Media Artists and Animators,30530,46700,,2001
27-1021,Commercial and Industrial Designers,33600,52410,,2001
27-1022,Fashion Designers,8890,56340,,2001
27-1023,Floral Designers,69660,20490,,2001
27-1024,Graphic Designers,136470,39670,,2001
27-1025,Interior Designers,39340,43080,,2001
27-1026,Merchandise Displayers and Window Trimmers,49520,24570,,2001
27-1027,Set and Exhibit Designers,7840,35960,,2001
27-2011,Actors,94470,36790,,2001
27-2012,Producers and Directors,52130,57160,,2001
27-2021,Athletes and Sports Competitors,10520,71070,,2001
27-2022,Coaches and Scouts,68670,34690,,2001
27-2023,"Umpires, Referees, and Other Sports Officials",8750,26600,,2001
27-2031,Dancers,17010,28770,,2001
27-2032,Choreographers,12660,32750,,2001
27-2041,Music Directors and Composers,7020,39330,,2001
27-2042,Musicians and Singers,55100,46690,,2001
27-3010,Announcers,50420,27590,,2001
27-3020,"News Analysts, Reporters and Correspondents",64130,37800,,2001
27-3031,Public Relations Specialists,132390,45240,,2001
27-3041,Editors,105130,44910,,2001
27-3042,Technical Writers,45900,51650,,2001
27-3043,Writers and Authors,40980,48120,,2001
27-3091,Interpreters and Translators,18900,34680,,2001
27-4011,Audio and Video Equipment Technicians,32960,35690,,2001
27-4012,Broadcast Technicians,31100,33550,,2001
27-4013,Radio Operators,3260,35040,,2001
27-4014,Sound Engineering Technicians,9350,42300,,2001
27-4021,Photographers,61250,27940,,2001
27-4031,"Camera Operators, Television, Video, and Motion Picture",22040,34180,,2001
27-4032,Film and Video Editors,13750,42010,,2001
29-0000,Healthcare Practitioners and Technical Occupations,6118970,49930,major,2001
29-1011,Chiropractors,18060,76870,,2001
29-1020,Dentists,87810,110790,,2001
29-1031,Dietitians and Nutritionists,43200,41070,,2001
29-1041,Optometrists,24230,87980,,2001
29-1051,Pharmacists,223630,72830,,2001
29-1061,Anesthesiologists,24700,131680,,2001
29-1062,Family and General Practitioners,135290,110020,,2001
29-1063,"Internists, General",53310,126930,,2001
29-1064,Obstetricians and Gynecologists,17230,133430,,2001
29-1065,"Pediatricians, General",24150,116550,,2001
29-1066,Psychiatrists,21620,113570,,2001
29-1067,Surgeons,48920,137040,,2001
29-1071,Physician Assistants,56200,62410,,2001
29-1081,Podiatrists,7620,94500,,2001
29-1111,Registered Nurses,2217990,48240,,2001
29-1121,Audiologists,11040,49700,,2001
29-1122,Occupational Therapists,77080,52210,,2001
29-1123,Physical Therapists,126450,59130,,2001
29-1124,Radiation Therapists,13460,53480,,2001
29-1125,Recreational Therapists,26830,31020,,2001
29-1126,Respiratory Therapists,82930,39870,,2001
29-1127,Speech-Language Pathologists,83110,50330,,2001
29-1131,Veterinarians,41240,69150,,2001
29-2011,Medical and Clinical Laboratory Technologists,145400,43060,,2001
29-2012,Medical and Clinical Laboratory Technicians,146920,30200,,2001
29-2021,Dental Hygienists,149880,56770,,2001
29-2031,Cardiovascular Technologists and Technicians,40990,36510,,2001
29-2032,Diagnostic Medical Sonographers,32990,48010,,2001
29-2033,Nuclear Medicine Technologists,17360,51270,,2001
29-2034,Radiologic Technologists and Technicians,168240,38860,,2001
29-2041,Emergency Medical Technicians and Paramedics,170690,25450,,2001
29-2051,Dietetic Technicians,28940,23360,,2001
29-2052,Pharmacy Technicians,207140,22510,,2001
29-2053,Psychiatric Technicians,59750,26920,,2001
29-2054,Respiratory Therapy Technicians,28700,35220,,2001
29-2055,Surgical Technologists,67460,30710,,2001
29-2056,Veterinary Technologists and Technicians,51790,23620,,2001
29-2061,Licensed Practical and Licensed Vocational Nurses,683790,31490,,2001
29-2071,Medical Records and Health Information Technicians,142170,25370,,2001
29-2081,"Opticians, Dispensing",63120,28060,,2001
29-2091,Orthotists and Prosthetists,4480,51510,,2001
29-9010,Occupational Health and Safety Specialists and Technicians,38800,46190,,2001
29-9091,Athletic Trainers,12580,35380,,2001
31-0000,Healthcare Support Occupations,3122870,21900,major,2001
31-1011,Home Health Aides,560190,18510,,2001
31-1012,"Nursing Aides, Orderlies, and Attendants",1307600,19850,,2001
31-1013,Psychiatric Aides,59640,23760,,2001
31-2011,Occupational Therapist Assistants,17520,36170,,2001
31-2012,Occupational Therapist Aides,7560,24340,,2001
31-2021,Physical Therapist Assistants,47810,35740,,2001
31-2022,Physical Therapist Aides,35250,21730,,2001
31-9011,Massage Therapists,26440,33130,,2001
31-9091,Dental Assistants,267840,27650,,2001
31-9092,Medical Assistants,345930,24360,,2001
31-9093,Medical Equipment Preparers,33540,23490,,2001
31-9094,Medical Transcriptionists,94090,27020,,2001
31-9095,Pharmacy Aides,58130,19170,,2001
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,60050,18570,,2001
33-0000,Protective Service Occupations,2957990,32530,major,2001
33-1011,First-Line Supervisors/Managers of Correctional Officers,32090,46040,,2001
33-1012,First-Line Supervisors/Managers of Police and Detectives,113970,59940,,2001
33-1021,First-Line Supervisors/Managers of Fire Fighting and Prevention Workers,61260,54880,,2001
33-2011,Fire Fighters,275500,35880,,2001
33-2021,Fire Inspectors and Investigators,12160,44050,,2001
33-2022,Forest Fire Inspectors and Prevention Specialists,1030,35760,,2001
33-3011,Bailiffs,16330,32590,,2001
33-3012,Correctional Officers and Jailers,401250,33770,,2001
33-3021,Detectives and Criminal Investigators,87030,52150,,2001
33-3031,Fish and Game Wardens,7790,47180,,2001
33-3041,Parking Enforcement Workers,9160,27480,,2001
33-3051,Police and Sheriff's Patrol Officers,599550,41950,,2001
33-3052,Transit and Railroad Police,6750,44990,,2001
33-9011,Animal Control Workers,9360,25670,,2001
33-9021,Private Detectives and Investigators,31330,32470,,2001
33-9031,Gaming Surveillance Officers and Gaming Investigators,9470,23430,,2001
33-9032,Security Guards,995510,20460,,2001
33-9091,Crossing Guards,69990,20020,,2001
35-0000,Food Preparation and Serving Related Occupations,9917660,16720,major,2001
35-1011,Chefs and Head Cooks,114930,30330,,2001
35-1012,First-Line Supervisors/Managers of Food Preparation and Serving Workers,659380,25930,,2001
35-2011,"Cooks, Fast Food",601570,14530,,2001
35-2012,"Cooks, Institution and Cafeteria",418180,18760,,2001
35-2014,"Cooks, Restaurant",674050,19230,,2001
35-2015,"Cooks, Short Order",228710,16590,,2001
35-2021,Food Preparation Workers,855800,16780,,2001
35-3011,Bartenders,427010,16550,,2001
35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food",2054250,14830,,2001
35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",428780,15610,,2001
35-3031,Waiters and Waitresses,1981810,15310,,2001
35-3041,"Food Servers, Nonrestaurant",191030,16760,,2001
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,389580,15000,,2001
35-9021,Dishwashers,488180,15080,,2001
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",286750,15750,,2001
37-0000,Building and Grounds Cleaning and Maintenance Occupations,4275340,20380,major,2001
37-1011,First-Line Supervisors/Managers of Housekeeping and Janitorial Workers,202880,29500,,2001
37-1012,"First-Line Supervisors/Managers of Landscaping, Lawn Service, and Groundskeeping Workers",94930,34990,,2001
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2071920,19800,,2001
37-2012,Maids and Housekeeping Cleaners,917930,16900,,2001
37-2021,Pest Control Workers,56570,25020,,2001
37-3011,Landscaping and Groundskeeping Workers,772800,20880,,2001
37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",22120,25360,,2001
37-3013,Tree Trimmers and Pruners,44850,25860,,2001
39-0000,Personal Care and Service Occupations,2802050,21010,major,2001
39-1011,Gaming Supervisors,25100,39960,,2001
39-1012,Slot Key Persons,12580,24250,,2001
39-1021,First-Line Supervisors/Managers of Personal Service Workers,98750,31380,,2001
39-2011,Animal Trainers,6860,27280,,2001
39-2021,Nonfarm Animal Caretakers,86230,18270,,2001
39-3011,Gaming Dealers,77540,16040,,2001
39-3012,Gaming and Sports Book Writers and Runners,11310,19970,,2001
39-3021,Motion Picture Projectionists,10280,19410,,2001
39-3031,"Ushers, Lobby Attendants, and Ticket Takers",101680,16030,,2001
39-3091,Amusement and Recreation Attendants,211950,15970,,2001
39-3092,Costume Attendants,3540,25890,,2001
39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",19860,17230,,2001
39-4011,Embalmers,7980,34730,,2001
39-4021,Funeral Attendants,28960,19200,,2001
39-5011,Barbers,12290,21190,,2001
39-5012,"Hairdressers, Hairstylists, and Cosmetologists",329920,21360,,2001
39-5091,"Makeup Artists, Theatrical and Performance",1240,32050,,2001
39-5092,Manicurists and Pedicurists,30420,17980,,2001
39-5093,Shampooers,15230,14510,,2001
39-5094,Skin Care Specialists,14470,25310,,2001
39-6011,Baggage Porters and Bellhops,58020,22030,,2001
39-6012,Concierges,16180,22940,,2001
39-6021,Tour Guides and Escorts,28680,20340,,2001
39-6022,Travel Guides,5480,31210,,2001
39-6031,Flight Attendants,115750,***,,2001
39-6032,"Transportation Attendants, Except Flight Attendants and Baggage Porters",25910,20480,,2001
39-9011,Child Care Workers,418540,16980,,2001
39-9021,Personal and Home Care Aides,408360,16640,,2001
39-9031,Fitness Trainers and Aerobics Instructors,160490,29290,,2001
39-9032,Recreation Workers,263460,20270,,2001
39-9041,Residential Advisors,53870,21210,,2001
41-0000,Sales and Related Occupations,13418240,28920,major,2001
41-1011,First-Line Supervisors/Managers of Retail Sales Workers,1252410,33170,,2001
41-1012,First-Line Supervisors/Managers of Non-Retail Sales Workers,309460,59350,,2001
41-2011,Cashiers,3387580,16240,,2001
41-2012,Gaming Change Persons and Booth Cashiers,33670,19580,,2001
41-2021,Counter and Rental Clerks,434250,19250,,2001
41-2022,Parts Salespersons,244410,25940,,2001
41-2031,Retail Salespersons,3917190,20920,,2001
41-3011,Advertising Sales Agents,144830,45700,,2001
41-3021,Insurance Sales Agents,269000,48570,,2001
41-3031,"Securities, Commodities, and Financial Services Sales Agents",270730,73430,,2001
41-3041,Travel Agents,111310,27230,,2001
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",370330,60520,,2001
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",1352800,48240,,2001
41-9011,Demonstrators and Product Promoters,96670,25910,,2001
41-9012,Models,2930,22600,,2001
41-9021,Real Estate Brokers,38530,65410,,2001
41-9022,Real Estate Sales Agents,118780,38430,,2001
41-9031,Sales Engineers,82850,64490,,2001
41-9041,Telemarketers,437510,21850,,2001
41-9091,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",28090,29740,,2001
43-0000,Office and Administrative Support Occupations,22798590,27230,major,2001
43-1011,First-Line Supervisors/Managers of Office and Administrative Support Workers,1417720,40920,,2001
43-2011,"Switchboard Operators, Including Answering Service",227660,21410,,2001
43-2021,Telephone Operators,57500,29440,,2001
43-3011,Bill and Account Collectors,385800,27390,,2001
43-3021,Billing and Posting Clerks and Machine Operators,480610,26340,,2001
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",1697890,27820,,2001
43-3041,Gaming Cage Workers,17140,22290,,2001
43-3051,Payroll and Timekeeping Clerks,188570,29300,,2001
43-3061,Procurement Clerks,74740,29480,,2001
43-3071,Tellers,532740,20150,,2001
43-4011,Brokerage Clerks,82730,34900,,2001
43-4021,Correspondence Clerks,34190,26330,,2001
43-4031,"Court, Municipal, and License Clerks",104060,28930,,2001
43-4041,"Credit Authorizers, Checkers, and Clerks",78450,27870,,2001
43-4051,Customer Service Representatives,1875370,27450,,2001
43-4061,"Eligibility Interviewers, Government Programs",97240,31530,,2001
43-4071,File Clerks,249970,20590,,2001
43-4081,"Hotel, Motel, and Resort Desk Clerks",176920,17640,,2001
43-4111,"Interviewers, Except Eligibility and Loan",171650,23240,,2001
43-4121,"Library Assistants, Clerical",106360,20090,,2001
43-4131,Loan Interviewers and Clerks,157680,28500,,2001
43-4141,New Accounts Clerks,99760,25940,,2001
43-4151,Order Clerks,338430,25770,,2001
43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",164680,30570,,2001
43-4171,Receptionists and Information Clerks,1046590,21450,,2001
43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,183280,27570,,2001
43-5011,Cargo and Freight Agents,60530,32300,,2001
43-5021,Couriers and Messengers,121670,20560,,2001
43-5031,"Police, Fire, and Ambulance Dispatchers",88550,27670,,2001
43-5032,"Dispatchers, Except Police, Fire, and Ambulance",170050,32340,,2001
43-5041,"Meter Readers, Utilities",52140,29950,,2001
43-5051,Postal Service Clerks,80760,38210,,2001
43-5052,Postal Service Mail Carriers,355120,37860,,2001
43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",201150,32190,,2001
43-5061,"Production, Planning, and Expediting Clerks",302430,34070,,2001
43-5071,"Shipping, Receiving, and Traffic Clerks",802600,24220,,2001
43-5081,Stock Clerks and Order Fillers,1680640,21480,,2001
43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",78620,27240,,2001
43-6011,Executive Secretaries and Administrative Assistants,1384240,33980,,2001
43-6012,Legal Secretaries,263590,35970,,2001
43-6013,Medical Secretaries,334200,26000,,2001
43-6014,"Secretaries, Except Legal, Medical, and Executive",1800950,25710,,2001
43-9011,Computer Operators,177990,30780,,2001
43-9021,Data Entry Keyers,405000,22740,,2001
43-9022,Word Processors and Typists,229090,26870,,2001
43-9031,Desktop Publishers,34860,33380,,2001
43-9041,Insurance Claims and Policy Processing Clerks,258100,30730,,2001
43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",166000,21560,,2001
43-9061,"Office Clerks, General",2791420,23000,,2001
43-9071,"Office Machine Operators, Except Computer",90240,23470,,2001
43-9081,Proofreaders and Copy Markers,25200,25810,,2001
43-9111,Statistical Assistants,25850,30370,,2001
45-0000,"Farming, Fishing, and Forestry Occupations",453050,19630,major,2001
45-1011,"First-Line Supervisors/Managers of Farming, Fishing, and Forestry Workers",22180,36040,,2001
45-1012,Farm Labor Contractors,6450,19810,,2001
45-2011,Agricultural Inspectors,13980,29630,,2001
45-2021,Animal Breeders,1630,26420,,2001
45-2041,"Graders and Sorters, Agricultural Products",54110,17190,,2001
45-2091,Agricultural Equipment Operators,26580,18600,,2001
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",211020,15730,,2001
45-2093,"Farmworkers, Farm and Ranch Animals",34590,17810,,2001
45-4011,Forest and Conservation Workers,12750,21440,,2001
45-4021,Fallers,9790,32580,,2001
45-4022,Logging Equipment Operators,30930,27240,,2001
45-4023,Log Graders and Scalers,4950,28610,,2001
47-0000,Construction and Extraction Occupations,6239430,35450,major,2001
47-1011,First-Line Supervisors/Managers of Construction Trades and Extraction Workers,514750,49430,,2001
47-2011,Boilermakers,24390,40570,,2001
47-2021,Brickmasons and Blockmasons,109840,42340,,2001
47-2022,Stonemasons,11880,33820,,2001
47-2031,Carpenters,851610,36110,,2001
47-2041,Carpet Installers,36340,34290,,2001
47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",13560,34160,,2001
47-2043,Floor Sanders and Finishers,8230,28590,,2001
47-2044,Tile and Marble Setters,30390,37790,,2001
47-2051,Cement Masons and Concrete Finishers,176590,32590,,2001
47-2053,Terrazzo Workers and Finishers,5800,31240,,2001
47-2061,Construction Laborers,825390,27790,,2001
47-2071,"Paving, Surfacing, and Tamping Equipment Operators",57880,31760,,2001
47-2072,Pile-Driver Operators,4950,42820,,2001
47-2073,Operating Engineers and Other Construction Equipment Operators,353650,37160,,2001
47-2081,Drywall and Ceiling Tile Installers,121450,35500,,2001
47-2082,Tapers,37920,39220,,2001
47-2111,Electricians,625560,43160,,2001
47-2121,Glaziers,46960,33510,,2001
47-2130,Insulation Workers,54270,31280,,2001
47-2141,"Painters, Construction and Maintenance",256220,30840,,2001
47-2142,Paperhangers,9320,32780,,2001
47-2151,Pipelayers,56190,31080,,2001
47-2152,"Plumbers, Pipefitters, and Steamfitters",438290,41140,,2001
47-2161,Plasterers and Stucco Masons,53790,35310,,2001
47-2171,Reinforcing Iron and Rebar Workers,29610,38130,,2001
47-2181,Roofers,118160,32350,,2001
47-2211,Sheet Metal Workers,207960,36350,,2001
47-2221,Structural Iron and Steel Workers,78700,40660,,2001
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",64730,26590,,2001
47-3012,Helpers--Carpenters,99490,22240,,2001
47-3013,Helpers--Electricians,108070,23680,,2001
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",29750,21770,,2001
47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",79980,23090,,2001
47-3016,Helpers--Roofers,24200,20980,,2001
47-4011,Construction and Building Inspectors,72200,41200,,2001
47-4021,Elevator Installers and Repairers,26450,50730,,2001
47-4031,Fence Erectors,20550,25090,,2001
47-4041,Hazardous Materials Removal Workers,36660,34510,,2001
47-4051,Highway Maintenance Workers,148390,28490,,2001
47-4061,Rail-Track Laying and Maintenance Equipment Operators,11680,34110,,2001
47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,16200,28590,,2001
47-4091,Segmental Pavers,2670,28240,,2001
47-5011,"Derrick Operators, Oil and Gas",15150,30870,,2001
47-5012,"Rotary Drill Operators, Oil and Gas",15560,35640,,2001
47-5013,"Service Unit Operators, Oil, Gas, and Mining",13320,30100,,2001
47-5021,"Earth Drillers, Except Oil and Gas",19630,33870,,2001
47-5031,"Explosives Workers, Ordnance Handling Experts, and Blasters",4790,34920,,2001
47-5041,Continuous Mining Machine Operators,9560,34320,,2001
47-5042,Mine Cutting and Channeling Machine Operators,5860,35760,,2001
47-5051,"Rock Splitters, Quarry",2710,28940,,2001
47-5061,"Roof Bolters, Mining",3990,37080,,2001
47-5071,"Roustabouts, Oil and Gas",37010,23400,,2001
47-5081,Helpers--Extraction Workers,30910,25910,,2001
49-0000,"Installation, Maintenance, and Repair Occupations",5323070,34960,major,2001
49-1011,"First-Line Supervisors/Managers of Mechanics, Installers, and Repairers",441700,48510,,2001
49-2011,"Computer, Automated Teller, and Office Machine Repairers",143810,34120,,2001
49-2021,Radio Mechanics,6550,36120,,2001
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",210650,44360,,2001
49-2091,Avionics Technicians,16340,41720,,2001
49-2092,"Electric Motor, Power Tool, and Related Repairers",29240,32970,,2001
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",16650,37860,,2001
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",77780,39110,,2001
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",19680,48470,,2001
49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",13210,26740,,2001
49-2097,Electronic Home Entertainment Equipment Installers and Repairers,29770,28710,,2001
49-2098,Security and Fire Alarm Systems Installers,42050,32790,,2001
49-3011,Aircraft Mechanics and Service Technicians,135250,42460,,2001
49-3021,Automotive Body and Related Repairers,168630,34980,,2001
49-3022,Automotive Glass Installers and Repairers,21550,28120,,2001
49-3023,Automotive Service Technicians and Mechanics,701150,31870,,2001
49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,254420,34570,,2001
49-3041,Farm Equipment Mechanics,35420,27200,,2001
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",116260,35900,,2001
49-3043,Rail Car Repairers,11860,37220,,2001
49-3051,Motorboat Mechanics,18370,29390,,2001
49-3052,Motorcycle Mechanics,13290,28090,,2001
49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,27250,25270,,2001
49-3091,Bicycle Repairers,7730,19670,,2001
49-3092,Recreational Vehicle Service Technicians,11830,27780,,2001
49-3093,Tire Repairers and Changers,86200,21140,,2001
49-9011,Mechanical Door Repairers,10510,31570,,2001
49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",37740,42610,,2001
49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",201850,35510,,2001
49-9031,Home Appliance Repairers,33640,31420,,2001
49-9041,Industrial Machinery Mechanics,187750,38880,,2001
49-9042,"Maintenance and Repair Workers, General",1232280,30230,,2001
49-9043,"Maintenance Workers, Machinery",98280,33030,,2001
49-9044,Millwrights,69800,42310,,2001
49-9045,"Refractory Materials Repairers, Except Brickmasons",3350,35420,,2001
49-9051,Electrical Power-Line Installers and Repairers,99140,45840,,2001
49-9052,Telecommunications Line Installers and Repairers,168260,39030,,2001
49-9061,Camera and Photographic Equipment Repairers,5580,31420,,2001
49-9062,Medical Equipment Repairers,22070,37570,,2001
49-9063,Musical Instrument Repairers and Tuners,4520,32710,,2001
49-9064,Watch Repairers,3680,28240,,2001
49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",33100,27440,,2001
49-9092,Commercial Divers,3050,40640,,2001
49-9093,"Fabric Menders, Except Garment",2090,27310,,2001
49-9094,Locksmiths and Safe Repairers,13450,30290,,2001
49-9095,Manufactured Building and Mobile Home Installers,14140,23850,,2001
49-9096,Riggers,15340,34150,,2001
49-9097,Signal and Track Switch Repairers,8550,42860,,2001
49-9098,"Helpers--Installation, Maintenance, and Repair Workers",148390,23220,,2001
51-0000,Production Occupations,11270210,27600,major,2001
51-1011,First-Line Supervisors/Managers of Production and Operating Workers,733410,44740,,2001
51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",33620,36460,,2001
51-2021,"Coil Winders, Tapers, and Finishers",43900,23740,,2001
51-2022,Electrical and Electronic Equipment Assemblers,302530,23900,,2001
51-2023,Electromechanical Equipment Assemblers,63930,26080,,2001
51-2031,Engine and Other Machine Assemblers,55820,29610,,2001
51-2041,Structural Metal Fabricators and Fitters,90480,29240,,2001
51-2091,Fiberglass Laminators and Fabricators,41520,25260,,2001
51-2092,Team Assemblers,1189840,24250,,2001
51-2093,"Timing Device Assemblers, Adjusters, and Calibrators",8550,25640,,2001
51-3011,Bakers,154410,21830,,2001
51-3021,Butchers and Meat Cutters,135630,26500,,2001
51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",156670,18310,,2001
51-3023,Slaughterers and Meat Packers,117490,20010,,2001
51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",18720,25450,,2001
51-3092,Food Batchmakers,70540,23090,,2001
51-3093,Food Cooking Machine Operators and Tenders,34910,22730,,2001
51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic",140540,29670,,2001
51-4012,Numerical Tool and Process Control Programmers,20800,38830,,2001
51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",102320,25870,,2001
51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",49760,28230,,2001
51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",45090,28830,,2001
51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",296070,25320,,2001
51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",58060,28360,,2001
51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",107300,27110,,2001
51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",75650,30630,,2001
51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",32680,30020,,2001
51-4041,Machinists,390090,32880,,2001
51-4051,Metal-Refining Furnace Operators and Tenders,19060,30910,,2001
51-4052,"Pourers and Casters, Metal",14580,29130,,2001
51-4061,"Model Makers, Metal and Plastic",8990,37540,,2001
51-4062,"Patternmakers, Metal and Plastic",6840,34640,,2001
51-4071,Foundry Mold and Coremakers,26170,27020,,2001
51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",149000,24500,,2001
51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",101500,30320,,2001
51-4111,Tool and Die Makers,112960,42430,,2001
51-4121,"Welders, Cutters, Solderers, and Brazers",382400,30260,,2001
51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",60810,30780,,2001
51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",32490,28840,,2001
51-4192,"Lay-Out Workers, Metal and Plastic",14100,32570,,2001
51-4193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",45940,25990,,2001
51-4194,"Tool Grinders, Filers, and Sharpeners",25410,30200,,2001
51-5011,Bindery Workers,93240,23650,,2001
51-5012,Bookbinders,7500,27550,,2001
51-5021,Job Printers,55210,31050,,2001
51-5022,Prepress Technicians and Workers,96580,32320,,2001
51-5023,Printing Machine Operators,198710,30800,,2001
51-6011,Laundry and Dry-Cleaning Workers,214520,17240,,2001
