AIOE_Rank,OCC_CODE,Occupation_Title,AIOE
742,47-4061,Rail-Track Laying and Maintenance Equipment Operators,-1.497
689,47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,-1.260
601,47-4091,Segmental Pavers,-0.949
568,47-4099,"Construction and Related Workers, All Other",-0.871
723,47-5011,"Derrick Operators, Oil and Gas",-1.391
570,47-5012,"Rotary Drill Operators, Oil and Gas",-0.880
637,47-5013,"Service Unit Operators, Oil, Gas, and Mining",-1.068
612,47-5021,"Earth Drillers, Except Oil and Gas",-0.999
603,47-5031,"Explosives Workers, Ordnance Handling Experts, and Blasters",-0.955
715,47-5041,Continuous Mining Machine Operators,-1.355
700,47-5042,Mine Cutting and Channeling Machine Operators,-1.283
761,47-5051,"Rock Splitters, Quarry",-1.614
759,47-5061,"Roof Bolters, Mining",-1.593
745,47-5071,"Roustabouts, Oil and Gas",-1.500
754,47-5081,Helpers--Extraction Workers,-1.572
394,49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",-0.114
468,49-2011,"Computer, Automated Teller, and Office Machine Repairers",-0.454
535,49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers",-0.743
597,49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",-0.939
425,49-2091,Avionics Technicians,-0.264
609,49-2092,"Electric Motor, Power Tool, and Related Repairers",-0.980
577,49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",-0.910
524,49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",-0.703
517,49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",-0.672
567,49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",-0.870
532,49-2097,"Electronic Home Entertainment Equipment Installers and
Repairers",-0.730
520,49-2098,Security and Fire Alarm Systems Installers,-0.685
553,49-3011,Aircraft Mechanics and Service Technicians,-0.814
672,49-3021,Automotive Body and Related Repairers,-1.199
679,49-3022,Automotive Glass Installers and Repairers,-1.235
625,49-3023,Automotive Service Technicians and Mechanics,-1.031
636,49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,-1.058
681,49-3041,Farm Equipment Mechanics and Service Technicians,-1.239
688,49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",-1.259
740,49-3043,Rail Car Repairers,-1.485
595,49-3051,Motorboat Mechanics and Service Technicians,-0.938
515,49-3052,Motorcycle Mechanics,-0.666
604,49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,-0.961
554,49-3091,Bicycle Repairers,-0.823
566,49-3092,Recreational Vehicle Service Technicians,-0.869
730,49-3093,Tire Repairers and Changers,-1.423
699,49-9011,Mechanical Door Repairers,-1.282
545,49-9012,"Control and Valve Installers and Repairers, Except Mechanical
Door",-0.781
576,49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",-0.896
591,49-9031,Home Appliance Repairers,-0.928
677,49-9041,Industrial Machinery Mechanics,-1.217
618,49-9043,"Maintenance Workers, Machinery",-1.015
701,49-9044,Millwrights,-1.284
676,49-9045,"Refractory Materials Repairers, Except Brickmasons",-1.209
651,49-9051,Electrical Power-Line Installers and Repairers,-1.119
635,49-9052,Telecommunications Line Installers and Repairers,-1.054
450,49-9061,Camera and Photographic Equipment Repairers,-0.360
481,49-9062,Medical Equipment Repairers,-0.537
496,49-9063,Musical Instrument Repairers and Tuners,-0.584
502,49-9064,Watch Repairers,-0.619
638,49-9071,"Maintenance and Repair Workers, General",-1.070
610,49-9081,Wind Turbine Service Technicians,-0.984
562,49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",-0.852
642,49-9092,Commercial Divers,-1.082
738,49-9093,"Fabric Menders, Except Garment",-1.464
611,49-9094,Locksmiths and Safe Repairers,-0.991
733,49-9095,Manufactured Building and Mobile Home Installers,-1.440
696,49-9096,Riggers,-1.278
660,49-9097,Signal and Track Switch Repairers,-1.148
709,49-9098,"Helpers--Installation, Maintenance, and Repair Workers",-1.321
549,49-9099,"Installation, Maintenance, and Repair Workers, All Other",-0.793
375,51-1011,First-Line Supervisors of Production and Operating Workers,-0.037
589,51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",-0.927
565,51-2021,"Coil Winders, Tapers, and Finishers",-0.869
539,51-2022,Electrical and Electronic Equipment Assemblers,-0.752
513,51-2023,Electromechanical Equipment Assemblers,-0.652
629,51-2031,Engine and Other Machine Assemblers,-1.045
640,51-2041,Structural Metal Fabricators and Fitters,-1.078
695,51-2091,Fiberglass Laminators and Fabricators,-1.277
556,51-2092,Team Assemblers,-0.832
505,51-2093,Timing Device Assemblers and Adjusters,-0.635
470,51-3011,Bakers,-0.474
607,51-3021,Butchers and Meat Cutters,-0.977
621,51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",-1.026
749,51-3023,Slaughterers and Meat Packers,-1.543
547,51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",-0.790
464,51-3092,Food Batchmakers,-0.427
501,51-3093,Food Cooking Machine Operators and Tenders,-0.619
574,51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic",-0.888
443,51-4012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",-0.341
710,51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",-1.325
571,51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",-0.881
667,51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",-1.186
661,51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",-1.150
573,51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",-0.887
669,51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",-1.194
655,51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",-1.126
563,51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",-0.867
608,51-4041,Machinists,-0.978
707,51-4051,Metal-Refining Furnace Operators and Tenders,-1.304
659,51-4052,"Pourers and Casters, Metal",-1.143
564,51-4061,"Model Makers, Metal and Plastic",-0.868
546,51-4062,"Patternmakers, Metal and Plastic",-0.788
762,51-4071,Foundry Mold and Coremakers,-1.642
648,51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",-1.108
559,51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",-0.845
521,51-4111,Tool and Die Makers,-0.687
705,51-4121,"Welders, Cutters, Solderers, and Brazers",-1.298
630,51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",-1.048
663,51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",-1.171
594,51-4192,"Layout Workers, Metal and Plastic",-0.936
555,51-4193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",-0.828
646,51-4194,"Tool Grinders, Filers, and Sharpeners",-1.097
367,51-5111,Prepress Technicians and Workers,-0.001
557,51-5112,Printing Press Operators,-0.844
579,51-5113,Print Binding and Finishing Workers,-0.914
575,51-6011,Laundry and Dry-Cleaning Workers,-0.889
774,51-6021,"Pressers, Textile, Garment, and Related Materials",-1.854
694,51-6031,Sewing Machine Operators,-1.273
614,51-6041,Shoe and Leather Workers and Repairers,-1.007
634,51-6042,Shoe Machine Operators and Tenders,-1.052
619,51-6051,"Sewers, Hand",-1.019
498,51-6052,"Tailors, Dressmakers, and Custom Sewers",-0.607
587,51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,-0.923
650,51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",-1.116
662,51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",-1.156
729,51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",-1.417
588,51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",-0.924
442,51-6092,Fabric and Apparel Patternmakers,-0.333
727,51-6093,Upholsterers,-1.405
711,51-7011,Cabinetmakers and Bench Carpenters,-1.327
680,51-7021,Furniture Finishers,-1.238
551,51-7031,"Model Makers, Wood",-0.802
675,51-7032,"Patternmakers, Wood",-1.208
691,51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",-1.265
674,51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",-1.204
301,51-8011,Nuclear Power Reactor Operators,0.409
331,51-8012,Power Distributors and Dispatchers,0.257
466,51-8013,Power Plant Operators,-0.441
495,51-8021,Stationary Engineers and Boiler Operators,-0.580
487,51-8031,Water and Wastewater Treatment Plant and System Operators,-0.559
488,51-8091,Chemical Plant and System Operators,-0.560
492,51-8092,Gas Plant Operators,-0.574
512,51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",-0.651
552,51-8099,"Plant and System Operators, All Other",-0.811
518,51-9011,Chemical Equipment Operators and Tenders,-0.678
631,51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",-1.048
657,51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",-1.136
678,51-9022,"Grinding and Polishing Workers, Hand",-1.220
598,51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",-0.941
600,51-9031,"Cutters and Trimmers, Hand",-0.946
671,51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",-1.199
658,51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",-1.138
561,51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",-0.847
408,51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",-0.156
507,51-9071,Jewelers and Precious Stone and Metal Workers,-0.637
465,51-9081,Dental Laboratory Technicians,-0.437
484,51-9082,Medical Appliance Technicians,-0.548
585,51-9083,Ophthalmic Laboratory Technicians,-0.918
616,51-9111,Packaging and Filling Machine Operators and Tenders,-1.011
697,51-9121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",-1.279
753,51-9122,"Painters, Transportation Equipment",-1.568
602,51-9123,"Painting, Coating, and Decorating Workers",-0.951
527,51-9141,Semiconductor Processors,-0.713
473,51-9151,Photographic Process Workers and Processing Machine Operators,-0.498
702,51-9191,Adhesive Bonding Machine Operators and Tenders,-1.285
654,51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",-1.124
624,51-9193,Cooling and Freezing Equipment Operators and Tenders,-1.031
543,51-9194,Etchers and Engravers,-0.775
683,51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",-1.241
584,51-9196,"Paper Goods Machine Setters, Operators, and Tenders",-0.917
737,51-9197,Tire Builders,-1.463
716,51-9198,Helpers--Production Workers,-1.355
717,51-9199,"Production Workers, All Other",-1.363
538,53-1011,Aircraft Cargo Handling Supervisors,-0.751
346,53-1021,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",0.138
356,53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,0.068
540,53-2011,"Airline Pilots, Copilots, and Flight Engineers",-0.758
510,53-2012,Commercial Pilots,-0.644
256,53-2021,Air Traffic Controllers,0.648
333,53-2022,Airfield Operations Specialists,0.246
453,53-2031,Flight Attendants,-0.365
558,53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",-0.844
633,53-3021,"Bus Drivers, Transit and Intercity",-1.050
530,53-3022,"Bus Drivers, School or Special Client",-0.729
528,53-3031,Driver/Sales Workers,-0.722
724,53-3032,Heavy and Tractor-Trailer Truck Drivers,-1.400
673,53-3033,Light Truck or Delivery Services Drivers,-1.200
596,53-3041,Taxi Drivers and Chauffeurs,-0.938
581,53-4011,Locomotive Engineers,-0.916
639,53-4012,Locomotive Firers,-1.073
620,53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",-1.021
708,53-4021,"Railroad Brake, Signal, and Switch Operators",-1.306
494,53-4031,Railroad Conductors and Yardmasters,-0.579
578,53-4041,Subway and Streetcar Operators,-0.913
693,53-5011,Sailors and Marine Oilers,-1.269
548,53-5021,"Captains, Mates, and Pilots of Water Vessels",-0.793
665,53-5022,Motorboat Operators,-1.177
489,53-5031,Ship Engineers,-0.567
550,53-6011,Bridge and Lock Tenders,-0.799
628,53-6021,Parking Lot Attendants,-1.038
649,53-6031,Automotive and Watercraft Service Attendants,-1.108
350,53-6041,Traffic Technicians,0.129
439,53-6051,Transportation Inspectors,-0.318
396,53-6061,"Transportation Attendants, Except Flight Attendants",-0.118
560,53-7011,Conveyor Operators and Tenders,-0.846
713,53-7021,Crane and Tower Operators,-1.352
686,53-7031,Dredge Operators,-1.256
718,53-7032,Excavating and Loading Machine and Dragline Operators,-1.364
722,53-7033,"Loading Machine Operators, Underground Mining",-1.390
656,53-7041,Hoist and Winch Operators,-1.127
756,53-7051,Industrial Truck and Tractor Operators,-1.575
748,53-7061,Cleaners of Vehicles and Equipment,-1.535
744,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",-1.498
617,53-7063,Machine Feeders and Offbearers,-1.013
668,53-7064,"Packers and Packagers, Hand",-1.193
569,53-7071,Gas Compressor and Gas Pumping Station Operators,-0.873
606,53-7072,"Pump Operators, Except Wellhead Pumpers",-0.972
647,53-7073,Wellhead Pumpers,-1.099
690,53-7081,Refuse and Recyclable Material Collectors,-1.263
743,53-7111,Mine Shuttle Car Operators,-1.497
725,53-7121,"Tank Car, Truck, and Ship Loaders",-1.403
